question,expected_answer,generated_answer,clean_generated_answer,top1_chunk_id,top1_source,top1_source_filter,top1_context,top1_article_bonus,top1_original_rank,top1_rerank_rank,top1_rerank_score,top1_fusion_score,retrieved_contexts,is_valid_sample,manual_score
"Bir belediye, yerel yönetimde temel hak ve hürriyetlerin keyfi olarak sınırlandırılmasını kararlaştırmıştır. Bu uygulama Anayasanın 13. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 13. Maddesi, temel hak ve hürriyetlerin ancak kanunla ve Anayasanın sözüne ve ruhuna uygun olarak sınırlandırılabileceğini vurgular. Keyfi sınırlandırmalar bu maddeye aykırıdır.","Evet, bu uygulama Anayasanın 13. Maddesine aykırıdır, çünkü temel hak ve hürriyetlerin sınırlandırılması, Anayasada belirtilen sebeplerle ve kanunla sı","Evet, bu uygulama Anayasanın 13. Maddesine aykırıdır, çünkü temel hak ve hürriyetlerin sınırlandırılması, Anayasada belirtilen sebeplerle ve kanunla sı",chunk_000368,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Anayasa hükümlerinden hiçbiri, Devlete veya kişilere, Anayasayla tanınan temel hak ve hürriyetlerin yok edilmesini veya Anayasada belirtilenden daha geniş şekilde sınırlandırılmasını amaçlayan bir faaliyette bulunmayı mümkün kılacak şekilde yorumlanamaz. Bu hükümlere aykırı faaliyette bulunanlar hakkında uygulanacak müeyyideler, kanunla düzenlenir. I V. Temel hak ve hürriyetlerin kullanılmasının durdurulması",0.0,1,2,0.3198956251144409,0.85,"Anayasa hükümlerinden hiçbiri, Devlete veya kişilere, Anayasayla tanınan temel hak ve hürriyetlerin yok edilmesini veya Anayasada belirtilenden daha geniş şekilde sınırlandırılmasını amaçlayan bir faaliyette bulunmayı mümkün kılacak şekilde yorumlanamaz. Bu hükümlere aykırı faaliyette bulunanlar hakkında uygulanacak müeyyideler, kanunla düzenlenir. I V. Temel hak ve hürriyetlerin kullanılmasının durdurulması

Temel hak ve hürriyetler, özlerine dokunulmaksızın yalnızca Anayasanın ilgili maddelerinde belirtilen sebeplere bağlı olarak ve ancak kanunla sınırlanabilir. Bu sınırlamalar, Anayasanın sözüne ve ruhuna, demokratik toplum düzeninin ve lâik Cumhuriyetin gereklerine ve ölçülülük ilkesine aykırı olamaz. II I. Temel hak ve hürriyetlerin kötüye kullanılamaması

Madde 15 – Savaş, seferberlik (…)[10] veya olağanüstü hallerde, milletlerarası hukuktan doğan yükümlülükler ihlal edilmemek kaydıyla, durumun gerektirdiği ölçüde temel hak ve hürriyetlerin kullanılması kısmen veya tamamen durdurulabilir veya bunlar için Anayasada öngörülen güvencelere aykırı tedbirler alınabilir.",True,1.0
İlgili kişi ne demektir?,Kişisel verisi işlenen gerçek kişi demektir.,"İlgili kişi, bir hukuk sorununa bağlıdır ve bu sorunun çözülmesi için gereken bilgilerin bir kısmının sahibi olduğu kişidir.","İlgili kişi, bir hukuk sorununa bağlıdır ve bu sorunun çözülmesi için gereken bilgilerin bir kısmının sahibi olduğu kişidir.",chunk_001050,Ceza Muhakemesi Kanunu,,"Madde 8 – (1) Bir kişi, birden fazla suçtan sanık olur veya bir suçta her ne sıfatla olursa olsun birden fazla sanık bulunursa bağlantı var sayılır.",0.0,1,2,0.08730462938547134,0.85,"Madde 8 – (1) Bir kişi, birden fazla suçtan sanık olur veya bir suçta her ne sıfatla olursa olsun birden fazla sanık bulunursa bağlantı var sayılır.

Madde 432- Akıl hastalığı, akıl zayıflığı, alkol veya uyuşturucu madde bağımlılığı, ağır 
tehlike arzeden bulaşıcı hastalık veya serserilik sebeplerinden biriyle toplum için tehlike 
oluşturan her ergin kişi, kişisel korunmasının başka şekilde sağlanamaması hâlinde, tedavisi, 
eğitimi veya ıslahı için elverişli bir kuruma yerleştirilir veya alıkonulabilir. Görevlerini 
yaparlarken bu sebeplerden birinin varlığını öğrenen kamu görevlileri, bu durumu hemen yetkili 
vesayet makamına bildirmek zorundadırlar.
Bu konuda kişinin çevresine getirdiği külfet de göz önünde tutulur.
İlgili kişi durumu elverir elvermez kurumdan çıkarılır. B. Yetki

Şüpheli veya Sanıkla İlgili Arama (Madde 116): Makul şüphe varsa, şüphelinin veya sanığın üstü, eşyası, konutu, işyeri veya diğer yerleri aranabilir.",True,0.0
Anayasa mahkemesi kararlarının kesinliği nedir,"Anayasa mahkemesi kararlarının kesinliği, mahkemenin verdiği kararların nihai ve değiştirilemez olduğu anlamına gelir. bu kararlar, başka bir yargı merci tarafından bozulamaz veya yeniden incelenemez.","Anayasa Mahkemesi kararları, Anayasa Mahkemesi üyelerinin salt çoğunluğunun kararına dayalı olarak kesin olarak uygulanır. [Bağlam 3]","Anayasa Mahkemesi kararları, Anayasa Mahkemesi üyelerinin salt çoğunluğunun kararına dayalı olarak kesin olarak uygulanır. []",chunk_000212,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Diğer mahkemelerle, Anayasa Mahkemesi arasındaki görev uyuşmazlıklarında, Anayasa Mahkemesinin kararı esas alınır.
Devamı…",0.0,1,6,0.093826524913311,0.75,"Diğer mahkemelerle, Anayasa Mahkemesi arasındaki görev uyuşmazlıklarında, Anayasa Mahkemesinin kararı esas alınır.
Devamı…

Kanun, Cumhurbaşkanlığı kararnamesi veya Türkiye Büyük Millet Meclisi İçtüzüğü ya da bunların hükümleri, iptal kararlarının Resmî Gazetede yayımlandığı tarihte yürürlükten kalkar. Gereken hallerde Anayasa Mahkemesi iptal hükmünün yürürlüğe gireceği tarihi ayrıca kararlaştırabilir. Bu tarih, kararın Resmî Gazetede yayımlandığı günden başlayarak bir yılı geçemez. [95]

Anayasa Mahkemesi üyeliği, bir üyenin hakimlik mesleğinden çıkarılmayı gerektiren bir suçtan dolayı hüküm giymesi halinde kendiliğinden; görevini sağlık bakımından yerine getiremeyeceğinin kesin olarak anlaşılması halinde de, Anayasa Mahkemesi üye tamsayısının salt çoğunluğunun kararı ile sona erer. 3. Görev ve yetkileri [83]",True,0.5
"Anayasa madde 63'e göre, tarih, kültür ve tabiat varlıklarının korunması nasıl sağlanır?","Anayasa madde 63'e göre, devlet, tarih, kültür ve tabiat varlıklarının ve değerlerinin korunmasını sağlar ve bu amaçla destekleyici ve teşvik edici tedbirleri alır.","Anayasa madde 63'e göre, devlet destekleyici ve teşvik edici tedbirler alır, tarih, kültür ve tabiat varlıklarının ve değerlerinin korunmasına yardımcı olur.","Anayasa madde 63'e göre, devlet destekleyici ve teşvik edici tedbirler alır, tarih, kültür ve tabiat varlıklarının ve değerlerinin korunmasına yardımcı olur.",chunk_000495,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 63 – Devlet, tarih, kültür ve tabiat varlıklarının ve değerlerinin korunmasını sağlar, bu amaçla destekleyici ve teşvik edici tedbirleri alır.",1.0,1,1,0.9986403584480286,1.0,"Madde 63 – Devlet, tarih, kültür ve tabiat varlıklarının ve değerlerinin korunmasını sağlar, bu amaçla destekleyici ve teşvik edici tedbirleri alır.

Madde 62 – Devlet, yabancı ülkelerde çalışan Türk vatandaşlarının aile birliğinin, çocuklarının eğitiminin, kültürel ihtiyaçlarının ve sosyal güvenliklerinin sağlanması, anavatanla bağlarının korunması ve yurda dönüşlerinde yardımcı olunması için gereken tedbirleri alır. X I. Tarih, kültür ve tabiat varlıklarının korunması

Madde 129 – Memurlar ve diğer kamu görevlileri Anayasa ve kanunlara sadık kalarak faaliyette bulunmakla yükümlüdürler.",True,1.0
"Anayasa madde 47, devletleştirme ve özelleştirme işlemlerinin korunması için ne tür tedbirler alınacağını düzenler","Anayasa madde 47, devletleştirme ve özelleştirme işlemlerinin korunması için devletin, bu işlemleri anayasal ve kanuni düzenlemelere uygun olarak gerçekleştirmesini düzenler. devlet, devletleştirme ve özelleştirme işlemlerini adil ve hukuka uygun olarak gerçekleştirmek zorundadır.","Anayasa madde 47, devletleştirme ve özelleştirme işlemlerinin gerçek karşılığının hesaplanması için tümleştirilmesi ve kanunla düzenlenmesi gerekir.","Anayasa madde 47, devletleştirme ve özelleştirme işlemlerinin gerçek karşılığının hesaplanması için tümleştirilmesi ve kanunla düzenlenmesi gerekir.",chunk_000463,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 47 – Kamu hizmeti niteliği taşıyan özel teşebbüsler, kamu yararının zorunlu kıldığı hallerde devletleştirilebilir. Devletleştirme gerçek karşılığı üzerinden yapılır. Gerçek karşılığın hesaplanma tarzı ve usulleri kanunla düzenlenir.",1.0,1,1,0.41434934735298157,1.0,"Madde 47 – Kamu hizmeti niteliği taşıyan özel teşebbüsler, kamu yararının zorunlu kıldığı hallerde devletleştirilebilir. Devletleştirme gerçek karşılığı üzerinden yapılır. Gerçek karşılığın hesaplanma tarzı ve usulleri kanunla düzenlenir.

İkinci fıkrada öngörülen taksitlendirmelerde ve herhangi bir sebeple ödenmemiş kamulaştırma bedellerinde kamu alacakları için öngörülen en yüksek faiz uygulanır. E. Devletleştirme ve Özelleştirme[19]

Madde 172 – Devlet, tüketicileri koruyucu ve aydınlatıcı tedbirler alır, tüketicilerin kendilerini koruyucu girişimlerini teşvik eder. B. Esnaf ve sanatkarların korunması",True,0.5
Kişisel veriler hangi mevzuata göre işlenir?,Kvk kanununda ve diğer kanunlarda öngörülen mevzuata göre işlenir.,"Kişisel veriler, kanunla düzenlenir.","Kişisel veriler, kanunla düzenlenir.",chunk_000388,Türkiye Cumhuriyeti Anayasası,,"(Ek fıkra: 7/5/2010-5982/2 md.) Herkes, kendisiyle ilgili kişisel verilerin korunmasını isteme hakkına sahiptir. Bu hak; kişinin kendisiyle ilgili kişisel veriler hakkında bilgilendirilme, bu verilere erişme, bunların düzeltilmesini veya silinmesini talep etme ve amaçları doğrultusunda kullanılıp kullanılmadığını öğrenmeyi de kapsar. Kişisel veriler, ancak kanunda öngörülen hallerde veya kişinin açık rızasıyla işlenebilir. Kişisel verilerin korunmasına ilişkin esas ve usuller kanunla düzenlenir. B. Konut dokunulmazlığı",0.0,1,1,0.8672710657119751,1.0,"(Ek fıkra: 7/5/2010-5982/2 md.) Herkes, kendisiyle ilgili kişisel verilerin korunmasını isteme hakkına sahiptir. Bu hak; kişinin kendisiyle ilgili kişisel veriler hakkında bilgilendirilme, bu verilere erişme, bunların düzeltilmesini veya silinmesini talep etme ve amaçları doğrultusunda kullanılıp kullanılmadığını öğrenmeyi de kapsar. Kişisel veriler, ancak kanunda öngörülen hallerde veya kişinin açık rızasıyla işlenebilir. Kişisel verilerin korunmasına ilişkin esas ve usuller kanunla düzenlenir. B. Konut dokunulmazlığı

Madde 42- Kişisel durumdaki değişiklikler, özellikle evlilik dışı bir çocuğun tanınması 
veya hâkimin babalığa karar vermesi, soybağının düzeltilmesi, evlât edinme ya da bulunmuş bir 
çocuğun soybağının belli olması, ilgili kanun hükümlerine göre kütüğe işlenir. C. Ölüm kütüğü I. Ölümün bildirilmesi

(1) 75, 76 ve 78 inci madde hükümlerine göre alınan örnekler üzerinde yapılan inceleme sonuçları, kişisel veri niteliğinde olup, başka bir amaçla kullanılamaz; dosya içeriğini öğrenme yetkisine sahip bulunan kişiler tarafından bir başkasına verilemez.",True,0.5
"Anayasa madde 140'a göre, hakimlerin ve savcıların görev ve yetkileri nasıl düzenlenir?","Anayasa madde 140'a göre, hakimlerin ve savcıların görev ve yetkileri, çalışma usulleri, mesleğe kabul, atanma, nakil, geçici yetki verme, yükselme, aylık, ödenek ve diğer özlük işleri, meslek içi eğitim, görevden uzaklaştırılma, emeklilik ve disiplin işlerine ilişkin esaslar kanunla düzenlenir.","Anayasa madde 140'a göre, hakimler ve savcıların görev ve yetkileri kanunla düzenlenir.","Anayasa madde 140'a göre, hakimler ve savcıların görev ve yetkileri kanunla düzenlenir.",chunk_000158,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 140 – Hakimler ve savcılar adli ve idari yargı hakim ve savcıları olarak görev yaparlar. Bu görevler meslekten hakim ve savcılar eliyle yürütülür. Hakimler, mahkemelerin bağımsızlığı ve hakimlik teminatı esaslarına göre görev ifa ederler.",1.0,1,1,0.995032548904419,1.0,"Madde 140 – Hakimler ve savcılar adli ve idari yargı hakim ve savcıları olarak görev yaparlar. Bu görevler meslekten hakim ve savcılar eliyle yürütülür. Hakimler, mahkemelerin bağımsızlığı ve hakimlik teminatı esaslarına göre görev ifa ederler.

Madde 142 – Mahkemelerin kuruluşu, görev ve yetkileri, işleyişi ve yargılama usulleri kanunla düzenlenir.

Hakim ve savcıların nitelikleri, atanmaları, hakları ve ödevleri, aylık ve ödenekleri, meslekte ilerlemeleri, görevlerinin ve görev yerlerinin geçici veya sürekli olarak değiştirilmesi, haklarında disiplin kovuşturması açılması ve disiplin cezası verilmesi, görevleriyle ilgili veya görevleri sırasında işledikleri suçlarından dolayı soruşturma yapılması ve yargılanmalarına karar verilmesi, meslekten çıkarmayı gerektiren suçluluk veya yetersizlik halleri ve meslek içi eğitimleri ile diğer özlük işleri mahkemelerin bağımsızlığı ve hakimlik teminatı esaslarına göre kanunla düzenlenir.",True,0.5
Ekonomik ve sosyal konsey hangi anayasa maddesi ile düzenlenmiştir,"Ekonomik ve sosyal konsey, türkiye cumhuriyeti anayasası'nın 115. maddesi ile düzenlenmiştir. bu madde, konseyi ve görevlerini belirler.",Anayasa maddesi 109'da düzenlenmiştir.,Anayasa maddesi 109'da düzenlenmiştir.,chunk_000248,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,(Ek fıkra: 7/5/2010-5982/23 md.) Ekonomik ve sosyal politikaların oluşturulmasında Cumhurbaşkanına istişarî nitelikte görüş bildirmek amacıyla Ekonomik ve Sosyal Konsey kurulur. Ekonomik ve Sosyal Konseyin kuruluş ve işleyişi kanunla düzenlenir. [110] I I. Piyasaların denetimi ve dış ticaretin düzenlenmesi,0.0,1,1,0.931627094745636,1.0,"(Ek fıkra: 7/5/2010-5982/23 md.) Ekonomik ve sosyal politikaların oluşturulmasında Cumhurbaşkanına istişarî nitelikte görüş bildirmek amacıyla Ekonomik ve Sosyal Konsey kurulur. Ekonomik ve Sosyal Konseyin kuruluş ve işleyişi kanunla düzenlenir. [110] I I. Piyasaların denetimi ve dış ticaretin düzenlenmesi

DÖRDÜNCÜ KISIM MALİ VE EKONOMİK HÜKÜMLER İKİNCİ BÖLÜM Ekonomik Hükümler I. Planlama; Ekonomik ve Sosyal Konsey [109]

Devlet, sosyal ve ekonomik alanlarda Anayasa ile belirlenen görevlerini, bu görevlerin amaçlarına uygun öncelikleri gözeterek malî kaynaklarının yeterliliği ölçüsünde yerine getirir.",True,0.0
Bilgi edinme hakkının ihlali durumunda ne yapılabilir,"Bilgi edinme hakkının ihlali durumunda, bireyler bilgi edinme değerlendirme kurulu'na başvurarak ihlalin durdurulmasını ve talep ettikleri bilgilere erişim sağlanmasını isteyebilirler.","Bilgi edinme hakkın ihlali durumunda, Kurum ve kuruluşların Bilgi Edinme Değerlendirme Kurulu'na başvurulmalıdır.","Bilgi edinme hakkın ihlali durumunda, Kurum ve kuruluşların Bilgi Edinme Değerlendirme Kurulu'na başvurulmalıdır.",chunk_000592,Bilgi Edinme Kanunu,Bilgi Edinme Kanunu,DÖRDÜNCÜ BÖLÜM Bilgi Edinme Hakkının Sınırları Yargı denetimi dışında kalan işlemler,0.0,1,5,0.0246486347168684,0.76,"DÖRDÜNCÜ BÖLÜM Bilgi Edinme Hakkının Sınırları Yargı denetimi dışında kalan işlemler

Madde 14- Bilgi edinme başvurusuyla ilgili yapılacak itirazlar üzerine, (…)3 verilen kararları incelemek ve kurum ve kuruluşlar için bilgi edinme hakkının kullanılmasına ilişkin olarak kararlar vermek üzere; Bilgi Edinme Değerlendirme Kurulu oluşturulmuştur.

Madde 8- Kurum ve kuruluşlarca yayımlanmış veya yayın, broşür, ilân ve benzeri yollarla kamuya açıklanmış bilgi veya belgeler, bilgi edinme başvurularına konu olamaz. Ancak, yayımlanmış veya kamuya açıklanmış bilgi veya belgelerin ne şekilde, ne zaman ve nerede yayımlandığı veya açıklandığı başvurana bildirilir. Gizli bilgileri ayırarak bilgi veya belge verme",True,1.0
İdari yargı nedir?,"Hukuki dinlenilme hakkı, tarafların yargılama sürecinde savunmalarını yapabilme ve delillerini sunabilme hakkıdır.","Idari yargı, yargı yetkisinin idari işlemlerin ve eylemlerin hukuka uygun olduğunu denetleyen ve kısıtlayan yüksek askerî şûranın kararıdır.","Idari yargı, yargı yetkisinin idari işlemlerin ve eylemlerin hukuka uygun olduğunu denetleyen ve kısıtlayan yüksek askerî şûranın kararıdır.",chunk_000107,Türkiye Cumhuriyeti Anayasası,,"(…) (Ek cümle: 7/5/2010-5982/11 md.) (…)[68] Yüksek Askerî Şûranın terfi işlemleri ile kadrosuzluk nedeniyle emekliye ayırma hariç her türlü ilişik kesme kararlarına karşı yargı yolu açıktır. İdari işlemlere karşı açılacak davalarda süre, yazılı bildirim tarihinden başlar.",0.0,1,3,0.13782146573066711,0.7999999999999999,"(…) (Ek cümle: 7/5/2010-5982/11 md.) (…)[68] Yüksek Askerî Şûranın terfi işlemleri ile kadrosuzluk nedeniyle emekliye ayırma hariç her türlü ilişik kesme kararlarına karşı yargı yolu açıktır. İdari işlemlere karşı açılacak davalarda süre, yazılı bildirim tarihinden başlar.

İdari işlemin uygulanması halinde telafisi güç veya imkansız zararların doğması ve idari işlemin açıkça hukuka aykırı olması şartlarının birlikte gerçekleşmesi durumunda gerekçe gösterilerek yürütmenin durdurulmasına karar verilebilir.

(Değişik birinci cümle: 7/5/2010-5982/11 md.) Yargı yetkisi, idarî eylem ve işlemlerin hukuka uygunluğunun denetimi ile sınırlı olup, hiçbir surette yerindelik denetimi şeklinde kullanılamaz. Yürütme görevinin kanunlarda gösterilen şekil ve esaslara uygun olarak yerine getirilmesini kısıtlayacak, idari eylem ve işlem niteliğinde veya takdir yetkisini kaldıracak biçimde yargı kararı verilemez.",False,0.0
