index,query,gold_chunk_ids,hybrid_hit_at_1,hybrid_hit_at_5,base_rerank_hit_at_1,base_rerank_hit_at_5,finetuned_rerank_hit_at_1,finetuned_rerank_hit_at_5
41,Ticaret Hukuku alanında şirket konusunda Kulüpler futbolcularını muhtemel kazalar sakatlıklar TFF tarafından belirlenmiş ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000461,True,True,True,True,True,True
42,Borçlar ve Sözleşmeler Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Borçlunun haline münasip ev konusunda Borçlunun haline münasip borçlunun ailesinin mesken kullanmaya elverişli ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_medeni_000065,True,True,False,True,True,True
43,Genel hukuk / sınıflandırma bekliyor alanında Noter aracılığıyla diğer yollarla yazılı konusunda Noter aracılığıyla diğer yollarla yazılı ihtarda bulunmak ispat ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000491,True,True,True,True,True,True
44,İdare ve İdari Yargılama Hukuku alanında iptal davası konusunda İdare hukukunda idareye karşı açılabilecek davalar sınırlı sayıda ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000161,True,True,True,True,True,True
45,Ticaret Hukuku alanında ceza konusunda Eğer malın değeri gerçekten azsa hakim cezayı indirmek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000080,True,True,True,True,True,True
46,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Rehinlerin kuruluş tarihi konusunda Rehinlerin kuruluş tarihi taşınır rehni önemlidir önce kurulan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000033,True,True,True,True,True,True
47,Genel hukuk / sınıflandırma bekliyor alanında 7258 sayılı kanunda yasadışı bahis konusunda 7258 sayılı kanunda yasadışı bahis oynatılan yerlerin mühürlenerek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000187,True,True,False,True,True,True
48,Borçlar ve Sözleşmeler Hukuku alanında borçlu temerrüdü konusunda Borçlu temerrüdü ilgili fazla bilgi edinmek Borçlu Temerrüdü ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_000162,True,True,True,True,True,True
49,Ticaret Hukuku alanında ceza konusunda Haberleşme içeriklerinin kaydı suretiyle gizlilik ihlali gerçekleşirse verilecek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000266,True,True,True,True,True,True
50,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında görevli mahkeme konusunda İstihkak davasında görevli mahkeme asliye hukuk mahkemesidir taşınmaz ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000015,True,True,True,True,True,True
51,Genel hukuk / sınıflandırma bekliyor alanında kentsel dönüşüm konusunda Kentsel dönüşüm kararı hak sahiplerinin onay oranı üçte ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000155,True,True,True,True,True,True
52,Genel hukuk / sınıflandırma bekliyor alanında Yıkım kararının hazırlık aşamasında konusunda Yıkım kararının hazırlık aşamasında alanında uzman tekniker mühendisler ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000977,True,True,True,True,True,True
53,Borçlar ve Sözleşmeler Hukuku alanında sözleşme konusunda Kiraya verenin açacağı kira kaybı alacağı talepli tazminat ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_000236,True,True,True,True,True,True
54,Ticaret Hukuku alanında kentsel dönüşüm konusunda Kentsel dönüşüm sürecinde malikler riskli yapı tespitine itiraz ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000154,True,True,True,True,True,True
55,İcra ve İflas Hukuku alanında Aciz vesikası konusunda Aciz vesikası haczedilen malların paraya çevrilmesi sonunda alacağı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_icra_iflas_000046,True,True,True,True,True,True
56,Ticaret Hukuku alanında Gemi maliki alacaklının aynı kişi konusunda Gemi maliki alacaklının aynı kişi olması durumunda işleyecek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000117,True,True,False,True,True,True
57,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Tereke mallarının sayıda olmaması konusunda Tereke mallarının sayıda olmaması yukarıda sayılan malvarlıklarının sadece ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000070,True,True,True,True,True,True
58,Genel hukuk / sınıflandırma bekliyor alanında Kanun yoluna feragat beyanının hukuki konusunda Kanun yoluna feragat beyanının hukuki doğurabilmesi gerekçeli kararın ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001800,True,True,True,True,True,True
59,İdare ve İdari Yargılama Hukuku alanında kamu hizmeti konusunda Zarar görenin idarenin hizmet kusurunu ispat etmesi idarenin ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000303,True,True,True,True,True,True
60,Ticaret Hukuku; Borçlar ve Sözleşmeler Hukuku alanında tahliye konusunda Yeni malik kardeşine kanun gereği bakmakla yükümlü olduğu ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_borclar_000046,True,True,True,True,True,True
61,Genel hukuk / sınıflandırma bekliyor alanında Zorunlu dava arkadaşlığı bulunmayan durumlarda konusunda Zorunlu dava arkadaşlığı bulunmayan durumlarda kimseye taraf sıfatı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000862,True,True,True,True,True,True
62,İdare ve İdari Yargılama Hukuku alanında türk vatandaşlığı konusunda Milli güvenlik kamu düzeni bakımından engel teşkil edecek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000083,True,True,True,True,True,True
63,Genel hukuk / sınıflandırma bekliyor alanında Mahkemece uygun görülmesi konusunda Mahkemece uygun görülmesi halinde konunun uzmanı bilirkişiler vasıtasıyla ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000281,True,True,True,True,True,True
64,Ceza Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında hakaret konusunda Uyuşturucu madde bağımlılığı boşanma sürecinde kişilik haklarını doğrudan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ceza_medeni_000004,True,True,True,True,True,True
65,Vergi Hukuku alanında İlişki konusunda İlişki zaman profesyonel saygılı çerçevede yürütülmelidir ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_vergi_000006,True,True,True,True,True,True
66,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Ana taşınmazda faydalı değişiklikler yapılabilmesi konusunda Ana taşınmazda faydalı değişiklikler yapılabilmesi kat maliklerinin sayı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000525,True,True,True,True,True,True
67,Ceza Muhakemesi Hukuku alanında Etkili savunma konusunda Etkili savunma şüphelinin sakin kalması haklarını iyi bilmesi ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ceza_muhakemesi_000021,True,True,True,True,True,True
68,Genel hukuk / sınıflandırma bekliyor alanında Eğer davalı zamanaşımı itirazında bulunmazsa konusunda Eğer davalı zamanaşımı itirazında bulunmazsa hakim zamanaşımı süresini ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001796,True,True,True,True,True,True
69,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında boşanma konusunda Anlaşmalı boşanma protokollerinde herhangi şekil şartı olmamakla beraber ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000370,True,True,True,True,True,True
70,Genel hukuk / sınıflandırma bekliyor alanında idari işlem konusunda İdari işlemlerin hukuka uygun olması yetki şekil sebep ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001574,False,True,True,True,False,True
71,Genel hukuk / sınıflandırma bekliyor alanında Donatan konusunda Donatan çartererin gecikmesi durumunda zararını ispatladığı ölçüde yüksek ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000403,True,True,True,True,True,True
72,Genel hukuk / sınıflandırma bekliyor alanında Ücretsiz izin sürecinde iş akdi konusunda Ücretsiz izin sürecinde akdi feshedilmez çalışanın işyeri ilişiği ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001430,True,True,True,True,True,True
73,Ceza Hukuku alanında suç konusunda Facebook Instagram WhatsApp Twitter sosyal medya platformlarının kullanımı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ceza_000142,True,True,True,True,True,True
74,İş ve Sosyal Güvenlik Hukuku alanında Gazetecilerin yıllık izin süreleri ilgili konusunda Gazetecilerin yıllık izin süreleri ilgili meslekteki kıdem yıldan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_is_sgk_000013,True,True,True,True,True,True
75,Borçlar ve Sözleşmeler Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Komisyonun ecrimisil bedeli tespitinde emsal konusunda Komisyonun ecrimisil bedeli tespitinde emsal araştırması yapmasının önemi ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_medeni_000080,True,True,True,True,True,True
76,Genel hukuk / sınıflandırma bekliyor alanında Bakiyeyi gösteren cetveli alan taraf konusunda Bakiyeyi gösteren cetveli alan taraf aldığı tarihten itibaren ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001464,True,True,True,True,True,True
77,Genel hukuk / sınıflandırma bekliyor alanında malın eşlerden birine ait olduğunu konusunda malın eşlerden birine ait olduğunu iddia eden kişi ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001772,True,True,False,True,False,True
78,Genel hukuk / sınıflandırma bekliyor alanında Kumar oynaması konusunda Kumar oynaması yer sağlama fiziki mekanın kumar oyunlarına ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000185,True,True,True,True,True,True
79,Ticaret Hukuku alanında Malikin gemiyi işletme tarzı nedeniyle konusunda Malikin gemiyi işletme tarzı nedeniyle ipoteğin sağladığı teminatın ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000135,True,True,True,True,True,True
80,Genel hukuk / sınıflandırma bekliyor alanında Yıllık izin süresi hesaplanırken konusunda Yıllık izin süresi hesaplanırken hafta tatilleri bayram genel ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001862,True,True,True,True,True,True
81,Genel hukuk / sınıflandırma bekliyor alanında Teknik heyet konusunda Teknik heyet itiraz dilekçesinde gösterilen itiraz sebebi bağlı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001037,True,True,True,True,True,True
82,Genel hukuk / sınıflandırma bekliyor alanında özel hayat konusunda WhatsApp grubuna atılan tüm iletiler grup üyelerinin tamamının ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001353,True,True,True,True,True,True
83,İdare ve İdari Yargılama Hukuku alanında hata konusunda Tebligat bilinen adrese yapılmışsa muhatabına ilgili posta idaresince ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000262,True,True,True,True,True,True
84,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında İnfaz memuru konusunda İnfaz memuru dosyanın kendisine iletilmesinden itibaren beş gün ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000459,True,True,True,True,True,True
85,Genel hukuk / sınıflandırma bekliyor alanında Blockchain teknolojisi üzerinden yapılan işlemlerde konusunda Blockchain teknolojisi üzerinden yapılan işlemlerde yargılama yetkisine devletin ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000763,True,True,True,True,True,True
86,Genel hukuk / sınıflandırma bekliyor alanında İlk defa verilecek tedbir kararı konusunda İlk defa verilecek tedbir kararı altı verilebilir şiddetin ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000873,True,True,True,True,True,True
87,İcra ve İflas Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Üçüncü kişinin elinde bulunan mal konusunda Üçüncü kişinin elinde bulunan mal istihkak davasını alacaklı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_icra_iflas_medeni_000002,True,True,True,True,True,True
88,Anayasa Hukuku ve Temel Haklar alanında dop kesintisi konusunda Kamu arazileri bakımından DOP kesintisi yapılmaması eşitlik ilkesine ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_anayasa_000013,True,True,True,True,True,True
89,Ticaret Hukuku alanında Eğer paydaşlara satış gerçekleştirilemezse konusunda Eğer paydaşlara satış gerçekleştirilemezse riskli yapılar riskli alanlar ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000155,True,True,True,True,True,True
90,Borçlar ve Sözleşmeler Hukuku alanında Kambiyo senetlerinde konusunda Kambiyo senetlerinde müracaat hakkının kullanılması sebebiyle ödeme yapan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_000295,True,True,True,True,True,True
91,Genel hukuk / sınıflandırma bekliyor alanında yetkili mahkeme konusunda Davalının yerleşim yeri ilgili uyuşmazlıklarda yetkili mahkeme davalının ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000539,True,True,True,True,True,True
92,Genel hukuk / sınıflandırma bekliyor alanında Sosyal medya hesaplarına üçüncü kişiler konusunda Sosyal medya hesaplarına üçüncü kişiler tarafından yapılan siber ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001899,True,True,True,True,True,True
93,Genel hukuk / sınıflandırma bekliyor alanında Kuruluşta sunulan belgelerin doğru olmaması konusunda Kuruluşta sunulan belgelerin doğru olmaması kurucuların özel sorumluluk ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000567,True,True,True,True,True,True
94,Genel hukuk / sınıflandırma bekliyor alanında Yapı kayıt belgesinin iptali işlemi konusunda Yapı kayıt belgesinin iptali işlemi yapı sahiplerine usulüne ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001055,True,True,True,True,True,True
95,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Rehinle yüklenecek taşınmazın belirli tapuda konusunda Rehinle yüklenecek taşınmazın belirli tapuda kayıtlı taşınmaz olması ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000020,True,True,True,True,True,True
96,Ticaret Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında müteahhit konusunda Müteahhitler büyük ölçekli inşaat projelerinde karşılaştıkları maliyetleri taşınmazları ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_medeni_000050,True,True,True,True,True,True
97,İdare ve İdari Yargılama Hukuku alanında Ruhsat olmadan işyeri açılması çalıştırılması konusunda Ruhsat olmadan işyeri açılması çalıştırılması mümkün değildir durumda ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000085,True,True,True,True,True,True
98,Anayasa Hukuku ve Temel Haklar alanında Kişinin manevi varlıkları üzerindeki hakları konusunda Kişinin manevi varlıkları üzerindeki hakları şeref haysiyet saygınlık ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_anayasa_000041,True,True,True,True,True,True
99,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Geri gönderme merkezlerinde çocukların yüksek konusunda Geri gönderme merkezlerinde çocukların yüksek yararları gözetilir aileler ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000174,True,True,True,True,True,True
100,İdare ve İdari Yargılama Hukuku alanında 5393 sayılı Belediye Kanunu konusunda Kamulaştırma kararı alındığında 5393 sayılı Belediye Kanunu 2942 ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000318,True,True,True,True,True,True
101,Genel hukuk / sınıflandırma bekliyor alanında Evlenen kadınların eşinin soyadını alma konusunda Evlenen kadınların eşinin soyadını alma zorunluluğu cinsiyet eşitliği ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_002070,True,True,True,True,True,True
102,Genel hukuk / sınıflandırma bekliyor alanında Bazı görüşlere konusunda Bazı görüşlere resmi memura başvurarak onun elindeki asıl ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000284,True,True,True,True,True,True
103,İdare ve İdari Yargılama Hukuku alanında Başvuruyu alan idare konusunda Başvuruyu alan idare otuz gün içinde cevap vermezse ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000301,True,True,False,True,True,True
104,Borçlar ve Sözleşmeler Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında sözleşme konusunda Tescil edilen tasarımın sahibi tescile konu tasarımı üçüncü ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_medeni_000075,True,True,True,True,True,True
105,Genel hukuk / sınıflandırma bekliyor alanında Ruhsatsız yapı konusunda Ruhsatsız yapı hukuka aykırı olduğu ruhsata aykırı yapılaşma ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000117,True,True,True,True,True,True
106,Genel hukuk / sınıflandırma bekliyor alanında Savunma stratejisinin etkili şekilde yürütülmesi konusunda Savunma stratejisinin etkili şekilde yürütülmesi yargılama sürecinin gidişatını ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000027,True,True,True,True,True,True
107,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Vasiyetnamede ehliyet terimi konusunda Vasiyetnamede ehliyet terimi kişinin vasiyetname yapma yeteneğini ifade ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000751,True,True,True,True,True,True
